!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z
452 -350.0262 168.3458 377.9878
453 -340.1044 228.8927 306.2392
454 -361.7802 242.8096 214.9177
455 -386.6321 258.8715 110.6864
456 -399.0308 295.9412 -0.0000
457 -384.0283 315.1638 -0.0000
458 -368.1019 333.6282 -0.0000
459 -289.2414 262.8572 376.9495
460 -301.3257 248.6111 377.0317
461 -312.6483 233.7107 377.1603
462 -290.3806 290.3806 306.2392
463 -308.4212 308.4211 214.9177
464 -329.1764 329.1764 110.6864
465 -333.6283 368.1018 -0.0000
466 -315.1639 384.0282 -0.0000
467 -295.9412 399.0307 -0.0000
468 -233.7107 312.6484 377.1603
469 -248.6111 301.3257 377.0317
470 -262.8573 289.2414 376.9495
471 -228.8928 340.1044 306.2392
472 -242.8097 361.7802 214.9177
473 -258.8716 386.6320 110.6864
474 -255.4046 426.1165 -0.0000
475 -234.1879 438.1347 -0.0000
476 -212.4078 449.0988 -0.0000
477 -168.3458 350.0263 377.9878
478 -185.4667 341.8917 377.7515
479 -202.0974 332.9442 377.5285
480 -158.0146 376.5932 306.2392
481 -167.4773 401.1244 214.9177
482 -178.4255 429.1733 110.6864
483 -167.3658 467.7558 -0.0000
484 -144.2121 475.4038 -0.0000
485 -120.7116 481.9082 -0.0000
486 -95.8790 374.2527 378.8864
487 -114.4975 369.4608 378.6839
488 -132.8141 363.8199 378.4621
489 -80.6562 398.9252 306.2392
490 -85.4444 425.2590 214.9177
491 -90.9924 455.3229 110.6864
492 -72.8953 491.4194 -0.0000
493 -48.6945 494.4035 -0.0000
494 -24.3765 496.1981 -0.0000
495 -19.3790 384.7719 379.3834
496 -38.7073 383.4508 379.3157
497 -57.9338 381.2542 379.2076
498 -254.0560 -254.0560 489.6208
499 -250.4480 -250.4480 502.0058
500 -246.3742 -246.3742 514.8324
501 -237.7421 -237.7421 538.9609
